날짜,종가,시가,고가,저가,거래량,변동 %
2000- 01- 03,94.31,94.31,94.31,94.31,0,0.00%
2000- 01- 04,74.90000000000002,74.90000000000002,74.90000000000002,74.90000000000002,0,0.00%
2000- 01- 05,69.16994535519125,69.16994535519125,69.16994535519125,69.16994535519125,0,0.00%
2000- 01- 06,54.91576502732241,54.91576502732241,54.91576502732241,54.91576502732241,0,0.00%
2000- 01- 07,75.29218662175538,75.29218662175538,75.29218662175538,75.29218662175538,0,0.00%
2000- 01- 10,81.57073801787631,81.57073801787631,81.57073801787631,81.57073801787631,0,0.00%
2000- 01- 11,69.66337710813094,69.66337710813094,69.66337710813094,69.66337710813094,0,0.00%
2000- 01- 12,65.0583884855019,65.0583884855019,65.0583884855019,65.0583884855019,0,0.00%
2000- 01- 13,76.81537954031826,76.81537954031826,76.81537954031826,76.81537954031826,0,0.00%
2000- 01- 14,82.19465518308886,82.19465518308886,82.19465518308886,82.19465518308886,0,0.00%
2000- 01- 18,83.52123128352605,83.52123128352605,83.52123128352605,83.52123128352605,0,0.00%
2000- 01- 19,89.17929414766047,89.17929414766047,89.17929414766047,89.17929414766047,0,0.00%
2000- 01- 20,86.57531475810558,86.57531475810558,86.57531475810558,86.57531475810558,0,0.00%
2000- 01- 21,89.81434048462947,89.81434048462947,89.81434048462947,89.81434048462947,0,0.00%
2000- 01- 24,76.8765753626265,76.8765753626265,76.8765753626265,76.8765753626265,0,0.00%
2000- 01- 25,80.34107892337641,80.34107892337641,80.34107892337641,80.34107892337641,0,0.00%
2000- 01- 26,70.60329232382709,70.60329232382709,70.60329232382709,70.60329232382709,0,0.00%
2000- 01- 27,73.72690978226052,73.72690978226052,73.72690978226052,73.72690978226052,0,0.00%
2000- 01- 28,62.586899673159245,62.586899673159245,62.586899673159245,62.586899673159245,0,0.00%
2000- 01- 31,70.63692029700834,70.63692029700834,70.63692029700834,70.63692029700834,0,0.00%
2000- 02- 01,76.31034606747491,76.31034606747491,76.31034606747491,76.31034606747491,0,0.00%
2000- 02- 02,78.25848276612089,78.25848276612089,78.25848276612089,78.25848276612089,0,0.00%
2000- 02- 03,87.42701768993192,87.42701768993192,87.42701768993192,87.42701768993192,0,0.00%
2000- 02- 04,89.20195454048232,89.20195454048232,89.20195454048232,89.20195454048232,0,0.00%
2000- 02- 07,92.91024675612593,92.91024675612593,92.91024675612593,92.91024675612593,0,0.00%
2000- 02- 08,104.59510337080393,104.59510337080393,104.59510337080393,104.59510337080393,0,0.00%
2000- 02- 09,93.50587214705642,93.50587214705642,93.50587214705642,93.50587214705642,0,0.00%
2000- 02- 10,102.70083765451507,102.70083765451507,102.70083765451507,102.70083765451507,0,0.00%
2000- 02- 11,95.55608054933705,95.55608054933705,95.55608054933705,95.55608054933705,0,0.00%
2000- 02- 14,95.21003700243271,95.21003700243271,95.21003700243271,95.21003700243271,0,0.00%
2000- 02- 15,97.25251236566343,97.25251236566343,97.25251236566343,97.25251236566343,0,0.00%
2000- 02- 16,95.88125194130757,95.88125194130757,95.88125194130757,95.88125194130757,0,0.00%
2000- 02- 17,102.00809573058436,102.00809573058436,102.00809573058436,102.00809573058436,0,0.00%
2000- 02- 18,90.95930936566812,90.95930936566812,90.95930936566812,90.95930936566812,0,0.00%
2000- 02- 22,91.82267084464418,91.82267084464418,91.82267084464418,91.82267084464418,0,0.00%
2000- 02- 23,107.15291836281095,107.15291836281095,107.15291836281095,107.15291836281095,0,0.00%
2000- 02- 24,114.09266018430371,114.09266018430371,114.09266018430371,114.09266018430371,0,0.00%
2000- 02- 25,106.27838930752972,106.27838930752972,106.27838930752972,106.27838930752972,0,0.00%
2000- 02- 28,106.09370008108294,106.09370008108294,106.09370008108294,106.09370008108294,0,0.00%
2000- 02- 29,114.48731874089816,114.48731874089816,114.48731874089816,114.48731874089816,0,0.00%
2000- 03- 01,117.29966605302751,117.29966605302751,117.29966605302751,117.29966605302751,0,0.00%
2000- 03- 02,109.15263920991205,109.15263920991205,109.15263920991205,109.15263920991205,0,0.00%
2000- 03- 03,127.64725210356397,127.64725210356397,127.64725210356397,127.64725210356397,0,0.00%
2000- 03- 06,130.66090500261691,130.66090500261691,130.66090500261691,130.66090500261691,0,0.00%
2000- 03- 07,124.75055711881514,124.75055711881514,124.75055711881514,124.75055711881514,0,0.00%
2000- 03- 08,128.12680237708818,128.12680237708818,128.12680237708818,128.12680237708818,0,0.00%
2000- 03- 09,141.07486449755794,141.07486449755794,141.07486449755794,141.07486449755794,0,0.00%
2000- 03- 10,139.26305206691487,139.26305206691487,139.26305206691487,139.26305206691487,0,0.00%
2000- 03- 13,128.30236436804478,128.30236436804478,128.30236436804478,128.30236436804478,0,0.00%
2000- 03- 14,114.04783064432885,114.04783064432885,114.04783064432885,114.04783064432885,0,0.00%
2000- 03- 15,99.7371596520911,99.7371596520911,99.7371596520911,99.7371596520911,0,0.00%
2000- 03- 16,116.80156431131601,116.80156431131601,116.80156431131601,116.80156431131601,0,0.00%
2000- 03- 17,123.4703897681151,123.4703897681151,123.4703897681151,123.4703897681151,0,0.00%
2000- 03- 20,113.0263395728611,113.0263395728611,113.0263395728611,113.0263395728611,0,0.00%
2000- 03- 21,125.80625594214068,125.80625594214068,125.80625594214068,125.80625594214068,0,0.00%
2000- 03- 22,133.40688562775773,133.40688562775773,133.40688562775773,133.40688562775773,0,0.00%
2000- 03- 23,140.42582549906916,140.42582549906916,140.42582549906916,140.42582549906916,0,0.00%
2000- 03- 24,146.0812913623177,146.0812913623177,146.0812913623177,146.0812913623177,0,0.00%
2000- 03- 27,146.79290862645345,146.79290862645345,146.79290862645345,146.79290862645345,0,0.00%
2000- 03- 28,135.59556559641507,135.59556559641507,135.59556559641507,135.59556559641507,0,0.00%
2000- 03- 29,118.7499949799457,118.7499949799457,118.7499949799457,118.7499949799457,0,0.00%
2000- 03- 30,109.83479762187507,109.83479762187507,109.83479762187507,109.83479762187507,0,0.00%
2000- 03- 31,116.74898816069472,116.74898816069472,116.74898816069472,116.74898816069472,0,0.00%
2000- 04- 03,95.76437784719796,95.76437784719796,95.76437784719796,95.76437784719796,0,0.00%
2000- 04- 04,92.96042378179105,92.96042378179105,92.96042378179105,92.96042378179105,0,0.00%
